Stornoway						
"Location: 146400E 933200N, Lat 58.214 Lon -6.318, 15 metres amsl"						
Estimated data is marked with a * after the value.						
Missing data (more than 2 days missing in month) is marked by  ---.						
"Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder."						
yyyy	mm	tmax	tmin	af	rain	sun
		degC	degC	days	mm	hours
2003	3	10.1	4.1	4	76	69.6#
2003	4	12.9	6.4	0	32.2	171.6#
2003	5	12.6	6.2	1	108.9	126.2#
2003	6	15.9	10.7	0	66.2	121.9#
2003	7	17.8	12.3	0	56.9	115.5#
2003	8	17.7	11.7	0	49	144.0#
2003	9	15.1	9.3	0	111.1	*   83.7#
2003	10	11.2	5.4	0	76.2	102.1#
2003	11	10.8	5.3	0	103.2	44.2#
2003	12	7.9	2.8	5	135.6	27.9#
2004	1	7.2	2.7	6	149.2	23.2#
2004	2	7.6	1.6	9	108.2	64.7#
2004	3	9.2	3.8	0	66	121.5#
2004	4	10.9	5.7	0	77.6	105.2#
2004	5	13.4	6.8	0	40.4	---
2004	6	14.8	9.8	0	71	89.2#
2004	7	16	10.4	0	59.4	122.5#
2004	8	17.3	12	0	96.8	147.3#
2004	9	14.9	9.4	0	131	118.0#
2004	10	11.4	6.8	0	143.6	50.7#
2004	11	9.6	5.3	3	117.8	31.1#
2004	12	8.8	3.4	4	136.4	17.2#
2005	1	8.1	3.2	3	160.2	23.9#
2005	2	6.9	2.1	1	84.8	53.2#
2005	3	9.1	4	5	99	88.4#
2005	4	10.5	5	1	113.3	156.9#
2005	5	11.9	5.2	1	58.2	168.9#
2005	6	14.5	9.4	0	92.8	101.1#
2005	7	15.4	10.6	0	56.6	85.4#
2005	8	16.2	10.9	0	124.3	105.2#
2005	9	14.9	9.5	0	164.8	81.4#
2005	10	13.5	8.3	0	117	61.9#
2005	11	9.8	4.3	0	128.8	40.2#
2005	12	8.9	4.1	1	74	31.4#
2006	1	8.4	3.7	1	98.8	39.0#
2006	2	8	3.3	3	60.8	58.8#
2006	3	6.9	2	8	109.2	74.9#
2006	4	9.8	3.8	1	121.6	144.7#
2006	5	12.5	5.8	0	96.8	171.3#
2006	6	15.7	9.5	0	57.4	123.9#
2006	7	18.2	12.5	0	58.4	140.4#
2006	8	16.2	11.6	0	59.6	64.7#
2006	9	17	11.8	0	87.2	88.6#
2006	10	13.6	9.2	0	168.6	48.0#
2006	11	10	4.9	0	134.2	28.7#
2006	12	9	4.7	0	204.3	15.6#
2007	1	8.4	3.5	0	215	---
2007	2	8.1	3.8	2	99.4	51.0#
2007	3	9.4	3.4	3	116.8	129.6#
2007	4	12.9	6.5	0	53.8	157.6#
2007	5	12.3	5.9	0	143.2	172.9#
2007	6	14.3	9.3	0	35.2	205.5#
2007	7	15.9	11.2	0	85.6	118.7#
2007	8	15.7	10.5	0	133.6	69.6#
2007	9	14.1	8.8	0	107.8	105.9#
2007	10	13	8.8	0	91.8	59.2#
2007	11	9.6	4.9	1	110.6	19.7#
2007	12	8.6	3.4	3	127	30.3#
2008	1	7.5	2.4	5	156.4	22.0#
2008	2	9	2.2	7	118.8	64.4#
2008	3	7.7	2	3	125.4	95.8#
2008	4	10	3.6	1	63	178.5#
2008	5	14.5	8	0	12.8	289.4#
2008	6	14.5	8.6	0	88.4	135.5#
2008	7	17	11.2	0	61.8	137.3#
2008	8	16.6	11.8	0	106.6	134.0#
2008	9	14.6	9.3	0	62	75.0#
2008	10	11	5.3	0	190.8	70.1#
2008	11	9.1	4.3	2	146.6	19.5#
2008	12	7.4	2.3	4	96.6	18.6#
2009	1	7.7	3.2	0	168.4	25.5#
2009	2	7.4	3	6	72.6	32.1#
2009	3	9	3.5	2	137	93.2#
2009	4	12.5	5.9	
2009	5	13.6	6.8	0	100	200.0#
2009	6	15.7	9.2	0	36.4	251.8#
2009	7	17.2	11.7	0	134.2	146.0#
2009	8	16.5	11.4	0	122.8	96.1#
2009	9	14.9	10.4	0	88.4	64.6#
2009	10	12.7	7.2	0	137.6	74.1#
2009	11	9.8	4.8	0	173.4	45.9#
2009	12	7.1	1.9	11	116.2	32.3#
2010	1	6	1.4	11	89.4	49.1#
2010	2	5.5	0.6	7	56.8	50.3#
2010	3	8.9	3.1	6	61	91.5#
2010	4	10.4	4	2	69	112.6#
2010	5	12	5.7	0	68	158.3#
2010	6	15.9	9.9	0	28.2	130.8#
2010	7	16.1	10.9	0	108.4	105.8#
2010	8	15.8	10.2	0	57.6	89.6#
2010	9	14.8	9.7	0	129	103.8#
2010	10	12.1	7.2	0	121.6	92.1#
2010	11	7.6	2.2	5	91.2	49.3#
2010	12	5.1	-0.7	20	43.4	38.3#
2011	1	7.1	2.1	10	108.8	31.7#
2011	2	8.2	3.3	1	81	65.9#
2011	3	8.7	3.4	5	93	81.6#
2011	4	12.9	6.6	0	51	140.5#
2011	5	13	7	0	153.2	162.4#
2011	6	14.1	8.5	0	53.4	162.0#
2011	7	16	10.5	0	44.6	121.6#
2011	8	15.6	10	0	77.6	101.2#
2011	9	15.2	10.3	0	143.4	77.7#
2011	10	12.7	7.3	0	148.8	58.4#
2011	11	11.8	6.5	0	139.8	53.9#
2011	12	7.6	1.8	8	195	15.5#
2012	1	7.5	2.9	3	145.2	30.6#
2012	2	8.8	4.2	1	69.6	38.0#
2012	3	10.7	5.6	1	54.4	107.6#
2012	4	9.5	3.4	4	85.4	148.5#
2012	5	12.4	5.5	2	43.4	244.7#
2012	6	13.6	8.5	0	37.8	166.5#
2012	7	15.3	9.9	0	56	95.5#
2012	8	16.7	11.3	0	92.8	111.5#
2012	9	13.7	8.4	0	131.4	98.1#
2012	10	10.8	4.5	1	99.4	92.6#
2012	11	8.7	3.9	0	129.8	41.0#
2012	12	6.9	1.8	9	158.6	28.4#
2013	1	7.3	2.8	4	108.8	28.1#
2013	2	7.3	1.6	7	70.4	72.1#
