Wick Airport						
"Location  336500E 952200N, Lat 58.454 Lon -3.088, 36m amsl"						
Estimated data is marked with a * after the value.						
Missing data (more than 2 days missing in month) is marked by  ---.						
"Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder."						
yyyy	mm	tmax	tmin	af	rain	sun
		degC	degC	days	mm	hours
1999	4	9.9	4	7	59.6	---
1999	5	11.5	6.4	0	64.7	---
1999	6	13.6	7.7	0	93	---
1999	7	16.4	10	0	30.2	---
1999	8	15.9	9.4	0	57.6	---
1999	9	15.4	10	0	80	---
1999	10	12	7.4	0	78.4	---
1999	11	9.3	4	3	70.6	---
1999	12	5.2	0.1	13	117	---
2000	1	6.9	1.9	2	71	---
2000	2	6.7	1.1	9	66.4	---
2000	3	8.8	2.4	7	73.4	---
2000	4	8.4	2.9	6	86.6	---
2000	5	12.1	5.3	0	47.2	---
2000	6	13.7	6.9	0	48.4	---
2000	7	14.5	9.1	0	26.2	---
2000	8	16.3	9.7	0	64.6	---
2000	9	14.6	9.9	0	60	---
2000	10	12.1	6.7	0	93.8	---
2000	11	8.2	2.5	2	113.3	---
2000	12	6.7	3.3	5	97.3	---
2001	1	5.5	0.3	13	27.2	---
2001	2	5.2	-0.4	15	78.8	---
2001	3	6.4	0.3	12	38.4	---
2001	4	9.4	2.9	3	33.1	---
2001	5	12.9	5.7	1	42.4	---
2001	6	13.4	7.4	0	51.4	---
2001	7	15.7	9.8	0	81.4	---
2001	8	16.5	9.9	0	102.2	---
2001	9	13.2	8.4	0	105.8	---
2001	10	13.3	9.5	0	129.8	---
2001	11	9	3.2	0	88.4	---
2001	12	6.1	0.8	13	94	---
2002	1	7.6	2.9	4	84.2	---
2002	2	6.3	0.4	10	117	---
2002	3	8.5	2.4	4	54.4	---
2002	4	10.8	4.7	3	42.6	---
2002	5	12.9	6.2	0	25.4	---
2002	6	15.2	8.8	0	62	---
2002	7	16.1	9.7	0	104.6	---
2002	8	16.6	10.9	0	34.9	---
2002	9	15.4	9.1	0	29.6	---
2002	10	10.6	5	2	117.8	---
2002	11	9.3	5.6	3	107	---
2002	12	7.1	3.9	4	64.4	---
2003	1	6.5	1.3	8	103.2	---
2003	2	6.4	1.6	9	31.4	---
2003	3	10	3.2	5	30.6	---
2003	4	10.7	5.7	0	50.6	---
2003	5	12.9	6.2	1	78.6	---
2003	6	16.4	10.1	0	73.8	---
2003	7	18	12	0	36	---
2003	8	18.1	10.8	0	29.4	---
2003	9	15.9	8.6	0	55.2	---
2003	10	10.9	4.2	3	95.6	---
2003	11	9.9	4.6	2	62.8	---
2003	12	7	1.2	11	94.6	---
2004	1	6	1.2	10	96	---
2004	2	6.8	0.3	14	48.6	---
2004	3	8.9	3	2	36.6	---
2004	4	10.8	5.1	0	64.4	---
2004	5	13	6.2	1	26.6	---
2004	6	14.8	8.9	0	87.6	---
2004	7	16.1	9.7	0	48.8	---
2004	8	16.1	11	0	58.4	---
2004	9	15.2	8.1	0	66.4	---
2004	10	11.6	6.5	0	111.2	---
2004	11	9.2	3.6	4	80.2	---
2004	12	7.9	1.8	9	54.8	---
2005	1	7.2	2	8	96.4	---
2005	2	6.2	1.1	11	65	---
2005	3	8.5	3.1	5	58.2	---
2005	4	10.3	4.4	2	36.6	---
2005	5	11.7	4.5	2	57.6	---
2005	6	15	8.6	0	79.8	---
2005	7	15.8	10.2	0	40.4	---
2005	8	16	10	0	81.8	---
2005	9	15.2	9.1	0	50.2	---
2005	10	13	7.8	1	80.6	---
2005	11	8.9	2.9	6	92.2	---
2005	12	7.9	3.6	4	67.8	---
2006	1	7.3	2.2	7	22.6	---
2006	2	6.8	1.7	10	30.6	---
2006	3	5.6	0.7	10	56.2	---
2006	4	9.6	2.4	4	56.1	---
2006	5	11.8	4.7	3	53.2	---
2006	6	15.2	8.8	0	37.6	---
2006	7	18.5	11.4	0	37.8	---
2006	8	16	11.2	0	83.4	---
2006	9	16.4	10.8	0	63.2	---
2006	10	12.9	8.1	0	234.6	---
2006	11	9.5	4.4	0	95.6	---
2006	12	7.8	2.2	6	58.4	---
2007	1	7.5	2.2	2	76.4	---
2007	2	7.5	2.8	5	87.2	---
2007	3	9	3.4	5	50.6	---
2007	4	12.9	5.6	1	36.8	---
2007	5	12	5.4	3	67.8	---
2007	6	13.2	8.6	0	29.6	---
2007	7	14.9	9.6	0	93.6	---
2007	8	15.4	9.6	0	89.8	---
2007	9	14.1	7.7	0	51.4	---
2007	10	13	7.4	0	32.4	---
2007	11	8.7	3.9	1	106.8	---
2007	12	7.3	1.8	9	62	---
2008	1	6.9	1	7	117.8	---
2008	2	8.5	1.3	9	37	---
2008	3	7.3	0.9	9	58.4	---
2008	4	9.4	3.9	2	58.8	---
2008	5	12.8	7	1	9.2	---
2008	6	14.6	8.4	0	67	---
2008	7	15.9	10.8	0	29.8	---
2008	8	16.4	11	0	58.6	---
2008	9	14.9	9.7	0	67	---
2008	10	11.3	4.8	2	89	---
2008	11	8.5	3.4	7	53.2	---
2008	12	6.9	1.4	11	73.4	---
2009	1	6.6	2	8	36.6	---
2009	2	6.5	1.2	9	71.2	---
2009	3	8.8	2.6	4	75.8	---
2009	4	10.9	5.3	1	34.2	---
2009	5	12.9	6.2	0	52.2	---
2009	6	14.1	7.5	0	45.3	---
2009	7	16.7	10.8	0	104.8	---
2009	8	16.8	11.1	0	89.8	---
2009	9	15.6	9.5	0	93.6	---
2009	10	12.2	7.1	1	126.8	---
2009	11	9.5	4.6	0	127.6	---
2009	12	6.2	0.5	16	63.4	---
2010	1	4.7	0.5	11	49.9	---
2010	2	4.9	-1	17	73	---
2010	3	8.4	2.1	8	53.4	---
2010	4	10.4	3.6	2	43.2	---
2010	5	11.5	4.4	2	54.2	---
2010	6	14.8	9.1	0	25.6	---
2010	7	16.2	10.4	0	88.2	---
2010	8	15.8	9.9	0	65.4	---
2010	9	13.8	8.7	0	82.6	---
2010	10	11.4	7.1	0	48.8	---
2010	11	6.8	1.3	9	67.8	---
2010	12	3.5	-2.9	21	58.4	---
2011	1	5.8	1	9	67.8	---
2011	2	7	2.8	3	51.8	---
2011	3	8.4	2.4	7	50	---
2011	4	12.7	5.9	0	28.4	---
2011	5	12.6	6.4	0	86.6	---
2011	6	14.7	7.7	0	53.6	---
2011	7	15.2	9.7	0	22.8	---
2011	8	15.1	9.7	0	180.2	---
2011	9	15.2	9.7	0	59.2	---
2011	10	12.5	7.7	0	74.2	---
2011	11	11.2	7.2	0	39	---
2011	12	6.2	0.6	10	95.8	---
2012	1	6.3	1.3	7	91.6	---
2012	2	8.4	2.8	6	43	---
2012	3	11.2	4.6	1	16	---
2012	4	8.7	2.5	6	78.2	---
2012	5	11.4	4.3	4	26.8	---
2012	6	12.5	6.9	0	44.4	---
2012	7	14.8	9.2	0	55	---
2012	8	16	10.6	0	62	---
2012	9	14.1	7.7	0	84.4	---
2012	10	10.2	3.6	2	95.8	---
2012	11	8.2	2.9	4	62.1	---
2012	12	5.9	1	11	124.7	---
2013	1	6.2	2.5	1	59.5	---
2013	2	6.3	0.2	11	48.4	---
2013	3	5.4	0.1	12	33.8	---
2013	4	9.1	2	6	37.4	---
2013	5	11.4	5	1	50.4	---
2013	6	14.8	8.6	0	22.6	---
2013	7	18.2	11.3	0	39.8	---
2013	8	17.2	10.6	0	42.8	---
2013	9	15.1	8.7	0	52.8	---
2013	10	12.6	8.2	0	85.4	---
2013	11	8.5	2.7	7	108.6	---
2013	12	8	3.3	2	60.8	---
2014	1	6.8	3.7	1	82.8	---
2014	2	7.4	2.8	4	78.2	---
2014	3	9.2	3.9	1	35.6	---
2014	4	10.2	5	1	32.6	---
2014	5	12.2	6.8	1	46.4	---
2014	6	15.5	9.7	0	45.2	---
2014	7	17.1	11.1	0	48.6	---
2014	8	15.6	10	0	122.2	---
2014	9	15.3	9.9	0	38.8	---
2014	10	12.6	7.4	0	95.4	---
2014	11	10.4	6.7	0	93	---
2014	12	6.5	1.3	8	69.2	---
2015	1	5.9	1.2	5	100	---
2015	2	7.1	1.9	6	28.6	---
2015	3	8.3	2.8	4	62	---
2015	4	10.5	2.8	4	37.2	---
2015	5	11	4.7	3	83	---
2015	6	13.5	7.2	0	66	---
2015	7	15.1	8.8	0	80.8	---
2015	8	16.3	10.9	0	83	---
2015	9	14.4	9.3	0	24.8	---
2015	10	13	7.3	0	67.4	---
2015	11	9.1	3.9	3	72.4	---
2015	12	8.6	3.5	2	52.6	---
